SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 07-Mar-2022, 71.60, 69.95, 71.00, 68.45, 70.40, 69.80, 69.86, 140616, 98.23, 1742, 80350, 57.14
21STCENMGM, EQ, 07-Mar-2022, 28.50, 27.95, 27.95, 27.95, 27.95, 27.95, 27.95, 793, 0.22, 34, 793, 100.00
3IINFOLTD, EQ, 07-Mar-2022, 52.50, 52.25, 55.10, 51.00, 55.10, 55.10, 54.20, 1209245, 655.46, 6644, 696330, 57.58
3MINDIA, EQ, 07-Mar-2022, 20379.35, 20199.35, 20199.35, 19600.00, 19935.00, 19925.95, 19977.89, 15772, 3150.91, 2416, 13799, 87.49
515GS2025, GS, 07-Mar-2022, 96.00, 96.01, 96.01, 95.00, 95.00, 95.00, 95.72, 100, 0.10, 3, 100, 100.00
563GS2026, GS, 07-Mar-2022, 100.38, 105.39, 105.39, 105.39, 105.39, 105.39, 105.39, 10, 0.01, 1, 10, 100.00
5PAISA, EQ, 07-Mar-2022, 326.10, 326.10, 326.10, 296.75, 307.60, 305.75, 311.12, 31838, 99.06, 1519, 16465, 51.71
667GS2050, GS, 07-Mar-2022, 97.10, 97.10, 97.10, 96.04, 96.12, 96.12, 96.42, 12469, 12.02, 18, 12469, 100.00
676GS2061, GS, 07-Mar-2022, 94.75, 95.00, 97.00, 95.00, 95.00, 95.00, 95.06, 5265, 5.00, 24, 5265, 100.00
699GS2051, GS, 07-Mar-2022, 102.95, 102.95, 102.95, 99.50, 100.00, 100.00, 100.00, 711, 0.71, 6, 711, 100.00
717GS2028, GS, 07-Mar-2022, 103.20, 103.20, 103.20, 103.20, 103.20, 103.20, 103.20, 2500, 2.58, 3, 2500, 100.00
737GS2023, GS, 07-Mar-2022, 100.02, 100.01, 100.01, 100.01, 100.01, 100.01, 100.01, 30, 0.03, 1, 30, 100.00
74GS2035, GS, 07-Mar-2022, 108.80, 108.00, 108.00, 108.00, 108.00, 108.00, 108.00, 90, 0.10, 2, 90, 100.00
769GS2043, GS, 07-Mar-2022, 104.01, 109.00, 109.00, 109.00, 109.00, 109.00, 109.00, 300, 0.33, 2, 300, 100.00
824GS2027, GS, 07-Mar-2022, 101.02, 101.01, 101.01, 101.01, 101.01, 101.01, 101.01, 30, 0.03, 1, 30, 100.00
A2ZINFRA, EQ, 07-Mar-2022, 10.75, 10.50, 10.75, 10.25, 10.25, 10.25, 10.33, 1386545, 143.28, 1230, 779310, 56.21
AAREYDRUGS, EQ, 07-Mar-2022, 43.55, 43.10, 44.30, 42.00, 42.80, 43.00, 43.03, 28619, 12.31, 457, 19474, 68.05
AARON, EQ, 07-Mar-2022, 109.90, 106.10, 111.75, 106.00, 106.15, 108.35, 107.95, 1956, 2.11, 107, 1113, 56.90
AARTIDRUGS, EQ, 07-Mar-2022, 445.30, 440.00, 445.00, 437.35, 443.00, 441.80, 441.60, 141782, 626.11, 6360, 77017, 54.32
AARTIIND, EQ, 07-Mar-2022, 829.55, 800.00, 817.95, 782.55, 810.00, 804.85, 802.06, 1030588, 8265.97, 48555, 501400, 48.65
AARTISURF, EQ, 07-Mar-2022, 808.15, 805.00, 805.00, 765.10, 774.00, 770.95, 774.67, 36001, 278.89, 1811, 30579, 84.94
AARVEEDEN, EQ, 07-Mar-2022, 24.00, 24.00, 24.85, 23.10, 24.85, 24.05, 23.92, 13052, 3.12, 150, 9235, 70.76
AARVI, EQ, 07-Mar-2022, 89.65, 90.20, 90.20, 84.00, 87.50, 87.80, 86.47, 8725, 7.54, 202, 3940, 45.16
AAVAS, EQ, 07-Mar-2022, 2689.20, 2562.00, 2662.15, 2407.75, 2600.00, 2600.15, 2560.69, 260192, 6662.72, 42758, 93779, 36.04
ABAN, EQ, 07-Mar-2022, 45.45, 44.40, 47.80, 44.40, 47.00, 46.90, 46.75, 192020, 89.77, 2690, 98369, 51.23
ABB, EQ, 07-Mar-2022, 2155.40, 2138.00, 2148.80, 2080.20, 2111.00, 2108.95, 2115.30, 139363, 2947.94, 27713, 77478, 55.59
ABBOTINDIA, EQ, 07-Mar-2022, 17459.40, 17000.25, 17549.95, 17000.25, 17450.00, 17415.30, 17313.53, 23513, 4070.93, 6481, 9377, 39.88
ABCAPITAL, EQ, 07-Mar-2022, 103.20, 99.05, 100.75, 96.85, 98.35, 98.60, 98.85, 5363013, 5301.41, 32373, 2253911, 42.03
ABCOTS, SM, 07-Mar-2022, 51.50, 51.50, 51.60, 49.00, 51.50, 50.40, 50.41, 28000, 14.12, 7, 12000, 42.86
ABFRL, EQ, 07-Mar-2022, 264.35, 259.00, 264.00, 252.00, 262.65, 261.35, 257.56, 2474598, 6373.60, 28649, 859162, 34.72
ABMINTLLTD, EQ, 07-Mar-2022, 93.15, 102.00, 102.00, 92.00, 96.00, 97.15, 97.69, 6210, 6.07, 232, 2906, 46.80
ABSLAMC, EQ, 07-Mar-2022, 499.55, 497.00, 499.10, 486.20, 490.45, 493.25, 491.44, 602596, 2961.38, 15797, 385449, 63.96
ABSLBANETF, EQ, 07-Mar-2022, 34.31, 33.65, 34.70, 32.44, 32.96, 32.82, 32.90, 43493, 14.31, 434, 34589, 79.53
ABSLNN50ET, EQ, 07-Mar-2022, 39.99, 44.50, 44.50, 38.25, 38.60, 38.56, 38.87, 13714, 5.33, 234, 7910, 57.68
ACC, EQ, 07-Mar-2022, 2010.55, 1972.00, 1978.00, 1900.00, 1947.00, 1950.15, 1939.15, 536549, 10404.50, 32878, 231500, 43.15
ACCELYA, EQ, 07-Mar-2022, 903.60, 900.00, 902.25, 875.00, 888.60, 885.05, 890.65, 14187, 126.36, 2040, 7141, 50.33
ACCORD, SM, 07-Mar-2022, 31.60, 32.00, 32.00, 32.00, 32.00, 32.00, 32.00, 2000, 0.64, 1, 2000, 100.00
ACCURACY, EQ, 07-Mar-2022, 230.50, 220.40, 234.00, 220.40, 227.90, 228.15, 229.53, 44648, 102.48, 666, 19364, 43.37
ACE, EQ, 07-Mar-2022, 214.90, 210.00, 211.75, 206.00, 208.50, 208.70, 208.41, 308745, 643.45, 7329, 117179, 37.95
ACRYSIL, EQ, 07-Mar-2022, 708.20, 689.90, 710.00, 680.00, 688.00, 692.50, 695.02, 80875, 562.10, 7655, 20451, 25.29
ADANIENT, EQ, 07-Mar-2022, 1615.00, 1590.00, 1592.00, 1539.30, 1568.90, 1564.05, 1564.62, 1508821, 23607.33, 41888, 312241, 20.69
ADANIGREEN, EQ, 07-Mar-2022, 1894.30, 1850.00, 1879.50, 1784.10, 1812.00, 1803.75, 1823.18, 636784, 11609.72, 41980, 394736, 61.99
ADANIPORTS, EQ, 07-Mar-2022, 700.15, 690.00, 691.70, 663.55, 680.00, 677.80, 675.57, 4890958, 33041.70, 99202, 1382822, 28.27
ADANIPOWER, EQ, 07-Mar-2022, 119.75, 116.00, 118.45, 115.35, 116.70, 116.45, 116.70, 22319366, 26046.71, 92281, 3690286, 16.53
ADANITRANS, EQ, 07-Mar-2022, 2323.20, 2272.80, 2365.00, 2207.05, 2207.05, 2207.35, 2248.15, 226577, 5093.80, 20579, 113500, 50.09
ADFFOODS, EQ, 07-Mar-2022, 711.55, 710.90, 710.90, 688.10, 690.05, 691.25, 697.35, 9590, 66.88, 1240, 5325, 55.53
ADORWELD, EQ, 07-Mar-2022, 654.85, 659.90, 659.90, 625.35, 632.70, 633.10, 640.91, 12778, 81.90, 1131, 5986, 46.85
ADSL, EQ, 07-Mar-2022, 102.90, 99.10, 104.80, 99.10, 102.60, 102.70, 100.75, 158064, 159.26, 1969, 87859, 55.58
